place_id,name,lat,lng,category,subcategory,address,city,district,opening_hours,website,fetched_at,wikidata_id,wikipedia_tag,name_en,osm_tourism,osm_historic,heritage,osm_match_dist_m,wiki_en,wiki_ja,pageviews_en_12m,pageviews_ja_12m,wiki_pageviews_12m,popularity,has_wiki_data
511247ac03f4f7604059a3334300cb814140f00102f901f172670300000000920309e4ba8ce69da1e59f8e,二条城,35.01400759965261,135.74853690765354,tourism.sights,wheelchair.limited,"Nijō Castle, Higurashi street, Nakagyo Ward, Kyoto, Minamiiseyacho 602-8145, Japan",Kyoto,Minamiiseyacho,"""Mo-Su 08:45-17:00""",https://nijo-jocastle.city.kyoto.lg.jp/,2026-03-08T06:46:06.626083,Q1013399,ja:二条城,Nijō Castle,attraction,castle,1.0,5.4,Nijō Castle,二条城,92974.0,148157.0,241131,0.6643,1
51b8c7ce50daf66040598086a9ded0834140f00102f90114efd80500000000920309e4bb81e5928ce5afba,仁和寺,35.02981169965369,135.7141498602557,tourism.sights,tourism.sights.place_of_worship,"Ninna temple, 33, Ukyō Ward, Kyoto, Omuro-Ouchi 616-8092, Japan",Kyoto,Omuro-Ouchi,"""Mar-Nov Mo-Su 09:00-17:00; Dec-Feb Mo-Su 09:00-16:30""",https://ninnaji.jp/,2026-03-08T06:46:06.626106,Q1202871,ja:仁和寺,Ninna temple,attraction,heritage,1.0,12.8,Ninna-ji,仁和寺,6271.0,68003.0,74274,0.2046,1
5168f7a094faf6604059adf1678448844140f00102f901b5f0d80500000000920309e9be8de5ae89e5afba,龍安寺,35.03346304965394,135.71808844984776,tourism.sights,wheelchair.limited,"Ryōan-ji, Kinugasa Utano line, Ukyō Ward, Kyoto, Hirano-Kamiyanagicho 603-8577, Japan",Kyoto,Hirano-Kamiyanagicho,"""Mo-Su 08:00-17:00""",http://www.ryoanji.jp/,2026-03-08T06:46:06.626113,Q587371,ja:龍安寺,Ryōan-ji,attraction,heritage,1.0,4.4,Ryōan-ji,龍安寺,50430.0,50578.0,101008,0.2783,1
51d328498112f8604059e95b716cbd874140f00102f90172fcd8050000000092030fe4b88ae8b380e88c82e7a59ee7a4be,上賀茂神社,35.060468249655806,135.75225891388854,tourism.sights,tourism.sights.place_of_worship,"Kamigamo Shrine, Kyoto Keihoku Line, Kita Ward, Kyoto, Kamigamo-Aoinomoricho 603-8065, Japan",Kyoto,Kamigamo-Aoinomoricho,"""Mo-Su 08:30-17:00""",https://www.kamigamojinja.jp/,2026-03-08T06:46:06.626118,Q700448,ja:賀茂別雷神社,Kamigamo Shrine,,heritage,1.0,30.4,Kamigamo Shrine,賀茂別雷神社,9844.0,53388.0,63232,0.1742,1
51f2bda470b8f86040596ab050c1bc844140f00102f90178fcd8050000000092030ce4b88be9b4a8e7a59ee7a4be,下鴨神社,35.03701034965418,135.77251465011756,tourism.sights,tourism.sights.place_of_worship,"Shimogamo Shrine, 左京区下鴨泉川59 下鴨東通, Sakyō Ward, Kyoto, Shimogamo-Izumigawacho 606-8101, Japan",Kyoto,Shimogamo-Izumigawacho,"""Mo-Su 05:30-18:00""",https://www.shimogamo-jinja.or.jp/,2026-03-08T06:46:06.626122,Q701620,ja:賀茂御祖神社,Shimogamo Shrine,,monastery,1.0,20.4,Shimogamo Shrine,賀茂御祖神社,17964.0,54064.0,72028,0.1984,1
51ea67825e58f76040591d40614b0f854140f00102f9014d21d90500000000920309e98791e996a3e5afba,金閣寺,35.03952924965436,135.7295372530928,tourism.sights,tourism.sights.place_of_worship,"Kinkaku-ji, Kita Ward, Kyoto, Kinkakuji-chō 603-8361, Japan",Kyoto,Kinkakuji-chō,"""Mo-Su 09:00-17:00""",https://www.shokoku-ji.jp/kinkakuji/,2026-03-08T06:46:06.626126,Q270983,ja:鹿苑寺,Kinkaku-ji,,heritage,1.0,6.8,Kinkaku-ji,鹿苑寺,165336.0,165203.0,330539,0.9106,1
51299fbd2dedf7604059aa3560527c7d4140f00102f9010f6c2f0b00000000920306e98791e5a082,金堂,34.98035649965034,135.7477024749326,tourism.sights,tourism.sights.place_of_worship.shrine,"Golden Hall, Kujō Street, Minami Ward, Kyoto, Nishikujo-Hieijocho 601-8438, Japan",Kyoto,Nishikujo-Hieijocho,"""Mo-Su 08:00-17:00""",https://toji.or.jp/guide/kondo/,2026-03-08T06:46:06.626129,Q107020573,,Golden Hall,,yes,2.0,0.0,,,0.0,0.0,0,0.0,1
51727d961f1af960405992e81852457f4140f00102f90153bc101400000000920309e6b885e6b0b4e5afba,清水寺,34.99430299965128,135.7844388903864,tourism.sights,wheelchair.yes,"Kiyomizu-dera, Slope of a tea-ceremony room, Higashiyama Ward, Kyoto, Kiyomizu 1-chōme 605-0862, Japan",Kyoto,Kiyomizu 1-chōme,"""Mo-Su 06:00-18:00""",https://www.kiyomizudera.or.jp/,2026-03-08T06:46:06.626133,Q221716,ja:清水寺,Kiyomizu-dera,attraction,yes,1.0,14.0,Kiyomizu-dera,清水寺,165526.0,168333.0,333859,0.9197,1
51ee3ddd50edf76040592c38e351857d4140f00102f901ea96731500000000920306e69db1e5afba,東寺,34.98063109965037,135.74771922313033,tourism.sights,wheelchair.limited,"East Temple, Kujō Street, Minami Ward, Kyoto, Nishikujo-Hieijocho 601-8438, Japan",Kyoto,Nishikujo-Hieijocho,"""Mo-Su 05:00-17:00""",https://toji.or.jp/,2026-03-08T06:46:06.626137,Q107020573,,Golden Hall,,yes,2.0,30.6,,,0.0,0.0,0,0.0,1
516928f69108f86040597a2e9f5df47e4140f00102f901b44c33160000000092030ce8a5bfe69cace9a198e5afba,西本願寺,34.99183244965111,135.75104616239267,tourism.sights,tourism.sights.place_of_worship,"Nishi-Hongan-ji, North alleyway, Shimogyo Ward, Kyoto, Kitakojichō 600-8226, Japan",Kyoto,Kitakojichō,"""Mo-Su 05:30-17:00""",https://www.hongwanji.or.jp/,2026-03-08T06:46:06.626140,Q1146038,ja:西本願寺,Nishi-Hongan-ji,,heritage,1.0,27.5,Nishi Hongan-ji,西本願寺,13571.0,86868.0,100439,0.2767,1
510e2e322065f8604059d0052dd53b834140f00102f90111c912210000000092030ce4baace983bde5bea1e68980,京都御所,35.02526344965338,135.7623444538189,tourism.sights,tourism.sights.castle,"Kyoto Imperial Palace, 3, Kamigyō Ward, Kyoto, Kyōto-Gyoen 602-0881, Japan",Kyoto,Kyōto-Gyoen,"""Mo-Su 09:00-21:00""",https://sankan.kunaicho.go.jp/,2026-03-08T06:46:06.626144,Q1202239,ja:京都御所,Kyoto Imperial Palace,,castle,,0.4,Kyoto Imperial Palace,京都御所,85629.0,88496.0,174125,0.4797,1
5146cb543f06f960405905bb5de0a8814140f00102f9014ff5fb0500000000920315e4baace983bde5ba9ce7ab8be59bb3e69bb8e9a4a8,京都府立図書館,35.012966199652546,135.78201262055717,tourism.sights,tourism.sights,"Kyoto Prefectural Library, Jingu Michi, Sakyō Ward, Kyoto, Okazaki-Seishojicho 606-8334, Japan",Kyoto,Okazaki-Seishojicho,,https://www.library.pref.kyoto.jp/,2026-03-08T06:46:06.626147,Q11375236,ja:京都府立図書館,Kyoto Prefectural Library,,yes,,1.1,Kyoto Prefectural Library,京都府立図書館,668.0,3204.0,3872,0.0107,1
51db221d428cf9604059c464327271834140f00102f901d9a54e0600000000920309e98a80e996a3e5afba,銀閣寺,35.02689959965349,135.79837136927276,tourism.sights,tourism.sights.place_of_worship,"Sakyō Ward, Kyoto, Ginkakujicho 606-8402, Japan",Kyoto,Ginkakujicho,,http://www.shokoku-ji.jp/g_about.html,2026-03-08T06:46:06.626150,Q257473,ja:慈照寺,Ginkakuji,,heritage,1.0,5.4,Ginkaku-ji,慈照寺,36667.0,76480.0,113147,0.3117,1
51467e739904f9604059bd8b5df89c804140f00102f9012826250b00000000920306e4b889e99680,三門,35.00479034965199,135.78181145245816,tourism.sights,tourism.sights,"Main Gate, Slope of Women, Higashiyama Ward, Kyoto, Rinkacho 605-0821, Japan",Kyoto,Rinkacho,,https://www.chion-in.or.jp/en/highlight/building/sanmon.php,2026-03-08T06:46:06.626153,Q107020601,,Main Gate,,yes,2.0,0.1,,,0.0,0.0,0,0.0,1
51c8f03389f5f7604059e8a3e66d6c7d4140f00102f9010a6c2f0b00000000920309e4ba94e9878de5a194,五重塔,34.9798714996503,135.74872265,tourism.sights,tourism.sights,"Five-storied pagoda, Kujō Street, Minami Ward, Kyoto, Nishikujo-Hieijocho 601-8438, Japan",Kyoto,Nishikujo-Hieijocho,,https://toji.or.jp/guide/gojunoto/,2026-03-08T06:46:06.626156,Q107020572,,Five-storied pagoda,,yes,2.0,0.0,,,0.0,0.0,0,0.0,1
517291d6736df9604059744bac985b814140f00102f9012977600b00000000920309e6b0b4e8b7afe996a3,水路閣,35.01060779965238,135.7946109,tourism.sights,tourism.sights,"南禅寺水路閣, Gokuraku Bridge, Sakyō Ward, Kyoto, Eikandōchō 606-8444, Japan",Kyoto,Eikandōchō,,https://nanzenji.or.jp/equipment/sosui,2026-03-08T06:46:06.626159,Q134484362,,,attraction,building,2.0,48.6,,,0.0,0.0,0,0.0,1
5173192b1ce0f5604059b224c578037f4140f00102f9018997050d00000000920309e8a5bfe88ab3e5afba,西芳寺,34.99229344965114,135.68360718171934,tourism.sights,tourism.sights.place_of_worship,"Saihō Temple, daiketsukyo, Nishikyo Ward, Kyoto, Yamada-Kitanocho 615-0000, Japan",Kyoto,Yamada-Kitanocho,,https://intosaihoji.com/en/booking/nichinichi,2026-03-08T06:46:06.626163,Q1516753,ja:西芳寺,Saihō Temple,,heritage,1.0,3.3,Saihō-ji (Kyoto),西芳寺,10669.0,15017.0,25686,0.0708,1
5100c9fbc1e5f760405959b367eca67d4140f00102f901b694721500000000920309e5a4a7e5b8abe5a082,大師堂,34.98165659965043,135.74679660012043,tourism.sights,tourism.sights.place_of_worship.shrine,"Kobo Daishi Hall, Mibu Street, Minami Ward, Kyoto, Hachijoteranouchicho 601-8447, Japan",Kyoto,Hachijoteranouchicho,,https://toji.or.jp/guide/miedo/,2026-03-08T06:46:06.626167,Q107020574,,Kobo Daishi Hall,,yes,2.0,1.2,,,0.0,0.0,0,0.0,1
51153a061da6f960405955ba0040df864140f00102f901002def200000000092030fe4bfaee5ada6e999a2e99ba2e5aeae,修学院離宮,35.05368804965534,135.80152751175106,tourism.sights,tourism.sights.castle,"Shugaku-in Imperial Villa, 後安堂橋, Sakyō Ward, Kyoto, Shugakuin-Goando 606-8003, Japan",Kyoto,Shugakuin-Goando,,https://sankan.kunaicho.go.jp/guide/shugakuin.html,2026-03-08T06:46:06.626171,Q2223611,ja:修学院離宮,Shugaku-in Imperial Villa,attraction,castle,,9.6,Shugakuin Imperial Villa,修学院離宮,5843.0,15718.0,21561,0.0594,1
51dddf9c1bfff8604059e753facbee774140f00102f9013e6e7e250000000092031ce6988ee6b2bbe5a4a9e79a8720e4bc8fe8a68be6a183e5b1b1e999b5,明治天皇 伏見桃山陵,34.93697499964747,135.78114109649223,tourism.sights,tourism.sights.memorial.tomb,"Fushimi Momoyama Imperial Mausoleum, 上板橋通, Fushimi Ward, Kyoto, Fukakusa-Okamedani-Gorotacho 612-0846, Japan",Kyoto,Fukakusa-Okamedani-Gorotacho,,https://www.kunaicho.go.jp/ryobo/guide/122/,2026-03-08T06:46:06.626174,Q10885331,ja:伏見桃山陵,Fushimi Momoyama Imperial Mausoleum,,tomb,,0.0,,伏見桃山陵,0.0,30005.0,30005,0.0827,1
5196c2eb696cf9604059bc3a844776814140f00102f90195ad422d00000000920306e696b9e4b888,方丈,35.011422099652435,135.79448410078902,tourism.sights,tourism.sights,"Abbot’s Quarters, Gokuraku Bridge, Sakyō Ward, Kyoto, Eikandōchō 606-8444, Japan",Kyoto,Eikandōchō,,https://nanzenji.or.jp/equipment/houjo,2026-03-08T06:46:06.626177,Q107020604,,Abbot’s Quarters,,yes,2.0,3.2,,,0.0,0.0,0,0.0,1
5140bdc20364f9604059c4749b32377f4140f00102f9010f7dc73c0000000092031be4baace983bde5a4a7e5ada6e88ab1e5b1b1e5a4a9e69687e58fb0,京都大学花山天文台,34.99387199965125,135.7934588244916,tourism.sights,tourism.sights,"Kyoto University Kwasan Observatory, 旧東海道, Yamashina Ward, Kyoto, Kitakazan-Yamadacho 607-8493, Japan",Kyoto,Kitakazan-Yamadacho,,https://www.kwasan.kyoto-u.ac.jp/general/facilities/kwasan/,2026-03-08T06:46:06.626180,Q4329967,ja:京都大学大学院理学研究科附属花山天文台,Kyoto University Kwasan Observatory,,building,,0.4,Kwasan Observatory,京都大学大学院理学研究科附属花山天文台,430.0,2358.0,2788,0.0077,1
517739ee8fbaf6604059beac3fdff17d4140f00102f901aeeb544900000000920309e6a182e99ba2e5aeae,桂離宮,34.98394384965057,135.71027370956628,tourism.sights,tourism.sights.castle,"Katsura Imperial Villa, Pont de la vallée aux lucioles, Nishikyo Ward, Kyoto, Katsura-Misono 615-0000, Japan",Kyoto,Katsura-Misono,,https://sankan.kunaicho.go.jp/guide/katsura.html,2026-03-08T06:46:06.626183,Q1736808,ja:桂離宮,Katsura Imperial Villa,,castle,,14.4,Katsura Imperial Villa,桂離宮,25184.0,48305.0,73489,0.2025,1
516aa95db91ef9604059a6b7d0fc567f4140f00102f9016ee8160600000000920306e69cace5a082,本堂,34.99484214965132,135.78500049870792,tourism.sights,tourism.sights.place_of_worship.shrine,"Main Hall, Tokiwa Bridge, Higashiyama Ward, Kyoto, Kiyomizu 1-chōme 605-0862, Japan",Kyoto,Kiyomizu 1-chōme,,,2026-03-08T06:46:06.626186,Q107020576,,Main Hall,,yes,2.0,2.1,,,0.0,0.0,0,0.0,1
51bc52f1f1c9f7604059c8f0d3c44c7e4140f00102f9015e55ef100000000092030ee382aae3838fe383953530203638,オハフ50 68,34.98671779965076,135.74340150006708,tourism.sights,tourism.sights.memorial.railway_car,"Ohafu50 68, Umekōji Station Square, Shimogyo Ward, Kyoto, Kankijichō 600-8841, Japan",Kyoto,Kankijichō,,,2026-03-08T06:46:06.626189,,,,,,,,,,,,0,0.0,0
51996379577df5604059d17259c4666d4140f00101f9018459450000000000920309e4baace8a197e98193,京街道,34.854698699642206,135.6715505,tourism.sights,tourism.sights,,,,,,2026-03-08T06:46:06.626192,,,,,,,,,,,,0,0.0,0
51351ce09358f9604059eee4e49bc8804140f00102f901d847b4020000000092030fe790b5e790b6e6b996e7968fe6b0b4,琵琶湖疏水,35.006122099652075,135.7920627,tourism.sights,tourism.sights,"Lake Biwa Canal, Sanjō Street, Yamashina Ward, Kyoto, Misasagi-Okanonishicho 605-0052, Japan",Kyoto,Misasagi-Okanonishicho,,,2026-03-08T06:46:06.626196,,,,,,,,,,,,0,0.0,0
51da6527eb4ff6604059c3fdb57efa784140f00102f9017a0ee3020000000092030fe58583e7a8b2e88db7e58fa4e5a2b3,元稲荷古墳,34.945144499648016,135.6972556848039,tourism.sights,tourism.sights.memorial.tomb,"元稲荷古墳, 中山向日線, Nishikyo Ward, Muko, 617-8799, Japan",Muko,,,,2026-03-08T06:46:06.626200,Q38279257,ja:元稲荷古墳,,,tomb,,3.1,Moto-Inari Kofun,元稲荷古墳,148.0,1080.0,1228,0.0034,1
512402509289f9604059bb2b549e65834140f00102f901192c3e0500000000920306e98a80e996a3,銀閣,35.02653864965347,135.79804340006478,tourism.sights,tourism.sights.place_of_worship.temple,"Silver Pavilion, Ginkakuji Utano Road, Sakyō Ward, Kyoto, Ginkakujicho 606-8402, Japan",Kyoto,Ginkakujicho,,,2026-03-08T06:46:06.626204,Q107020582,,Silver Pavilion,,yes,2.0,0.0,,,0.0,0.0,0,0.0,1
514e682998d7f66040595886fab3fa834140f00102f901e8e3d60500000000920306e98791e5a082,金堂,35.03108834965377,135.71381767356291,tourism.sights,tourism.sights.place_of_worship.shrine,"Golden Hall, Kinugasa Utano line, Ukyō Ward, Kyoto, Ryoanji-Ikenoshitacho 616-0000, Japan",Kyoto,Ryoanji-Ikenoshitacho,,,2026-03-08T06:46:06.626207,Q107020611,,Golden Hall,,yes,2.0,1.5,,,0.0,0.0,0,0.0,1
51406f16e87af860405990464267e3824140f00102f901c0d6e8050000000092030ce4bb99e6b49ee5bea1e68980,仙洞御所,35.0225647996532,135.76500324613335,tourism.sights,tourism.sights,"Sentō-gosho, Teramachi street, Kamigyō Ward, Kyoto, Higashisakuracho 602-0853, Japan",Kyoto,Higashisakuracho,,,2026-03-08T06:46:06.626210,Q909444,,Sentō-gosho,,palace,,8.2,Sentō Imperial Palace,仙洞御所,10555.0,41418.0,51973,0.1432,1
518c3b38e70df8604059b99db883fd7e4140f00102f9017a66e9050000000092030ce998bfe5bca5e99980e5a082,阿弥陀堂,34.99211164965113,135.75169716818743,tourism.sights,tourism.sights.place_of_worship.shrine,"Amida Hall, Hanayamachi Street, Shimogyo Ward, Kyoto, Ganjitsucho 600-8364, Japan",Kyoto,Ganjitsucho,,,2026-03-08T06:46:06.626213,Q107020619,,Amida Hall,,yes,2.0,5.1,,,0.0,0.0,0,0.0,1
5117ce311a0ef86040596670b851e47e4140f00102f901eb66e90500000000920309e5bea1e5bdb1e5a082,御影堂,34.99134274965108,135.75172147491023,tourism.sights,tourism.sights.place_of_worship.shrine,"Founder's Hall, North alleyway, Shimogyo Ward, Kyoto, Kitakojichō 600-8269, Japan",Kyoto,Kitakojichō,,,2026-03-08T06:46:06.626216,Q107020624,,Founder's Hall,,yes,2.0,6.1,,,0.0,0.0,0,0.0,1
51d5414bbb0bf96040593da557c59b814140f00102f90155f5fb0500000000920309e5a4a7e9b3a5e5b185,大鳥居,35.012566249652515,135.78268208216346,tourism.sights,tourism.sights,"O-torii, Jingu Michi, Sakyō Ward, Kyoto, Okazaki-Seishojicho 606-8334, Japan",Kyoto,Okazaki-Seishojicho,,,2026-03-08T06:46:06.626219,Q18457837,ja:大鳥居 (平安神宮),O-torii,gate,yes,,0.0,,大鳥居 (平安神宮),0.0,4274.0,4274,0.0118,1
515bd8887511f96040590694ec2eab804140f00102f90173ad3b0a00000000920309e5bea1e5bdb1e5a082,御影堂,35.00522409965201,135.78338124015394,tourism.sights,tourism.sights,"Main building, Slope of Women, Higashiyama Ward, Kyoto, Rinkacho 605-0821, Japan",Kyoto,Rinkacho,,https://www.chion-in.or.jp/en/highlight/building/mieido.php,2026-03-08T06:46:06.626222,Q873645,ja:知恩院,Chion-in,,,,34.9,Chion-in,知恩院,12545.0,56792.0,69337,0.191,1
51e60cbdac67f66040590665b5bb87814140f00102f90139f2d80b0000000092030ce89b87e5a19ae58fa4e5a2b3,蛇塚古墳,35.011954749652475,135.7001556103125,tourism.sights,tourism.sights.ruines,"Hebizuka Kofun Ancient Tomb, Sanjo Street, Ukyō Ward, Kyoto, Uzumasa-Katsuragicho 616-0000, Japan",Kyoto,Uzumasa-Katsuragicho,,,2026-03-08T06:46:06.626225,Q11625508,ja:蛇塚古墳,Hebizuka Kofun Ancient Tomb,,ruins,,0.3,Hebizuka Kofun,蛇塚古墳,796.0,4936.0,5732,0.0158,1
51f0630a1045fa604059055f35a2c5794140f00102f9013a6fff0c00000000920309e4b88be9868de98690,下醍醐,34.95134379964842,135.82093050031062,tourism.sights,tourism.sights.place_of_worship,"Shimo Daigo, 寶はし, Fushimi Ward, Kyoto, Daigo-Garancho 601-1351, Japan",Kyoto,Daigo-Garancho,,,2026-03-08T06:46:06.626228,,,,,,,,,,,,0,0.0,0
517c6eb6a1c2f8604059b542a0abe37c4140f00102f9014684590d00000000920306e4b889e99680,三門,34.97569794965003,135.77375875121277,tourism.sights,tourism.sights,"Three Gate, Heaven-Crossing Bridge, Higashiyama Ward, Kyoto, Honmachi 15 605-0973, Japan",Kyoto,Honmachi 15,,,2026-03-08T06:46:06.626232,Q107020603,,Three Gate,,yes,2.0,0.0,,,0.0,0.0,0,0.0,1
510e62099a3ef9604059bdf2543838814140f00102f901abc2ac0d00000000920318e7acacefbc92e69c9fe8b9b4e4b88ae799bae99bbbe68980,第２期蹴上発電所,35.0095281996523,135.7888918097746,tourism.sights,tourism.sights,"第２期蹴上発電所, Niō Gate Street, Higashiyama Ward, Kyoto, Nishikomonozacho 605-0052, Japan",Kyoto,Nishikomonozacho,,,2026-03-08T06:46:06.626235,Q134493992,,,,building,2.0,5.6,,,0.0,0.0,0,0.0,1
51904f4470d7f7604059da99c7120c7f4140f00102f901afdb9a0f0000000092030ce5b3b6e58e9fe5a4a7e99680,島原大門,34.99255594965116,135.74504865018798,tourism.sights,tourism.sights,"島原大門, 花屋町通, Shimogyo Ward, Kyoto, Nishishinyashiki-Kaminocho 600-8821, Japan",Kyoto,Nishishinyashiki-Kaminocho,,,2026-03-08T06:46:06.626238,,,,,,,,,,,,0,0.0,0
51c217cd37c9f6604059e13c1fbbe6804140f00102f901f76385100000000092030ce5a4a9e5a19ae58fa4e5a2b3,天塚古墳,35.007041349652134,135.71206274087132,tourism.sights,tourism.sights.archaeological_site,"天塚古墳, Shijo-dori, Ukyō Ward, Kyoto, Umezu-Kitahirocho 616-0000, Japan",Kyoto,Umezu-Kitahirocho,,,2026-03-08T06:46:06.626241,Q11442478,ja:天塚古墳,,,archaeological_site,,4.3,Amatsuka Kofun,天塚古墳,477.0,2550.0,3027,0.0083,1
51b364db78cef86040594954b5fac57e4140f00102f9019fa1181100000000920306e5baabe8a3a1,庫裡,34.99041684965102,135.77520411348596,tourism.sights,tourism.sights.place_of_worship.temple,"Kuri, Higashiōji Street, Higashiyama Ward, Kyoto, Kaneicho 605-0932, Japan",Kyoto,Kaneicho,,,2026-03-08T06:46:06.626245,Q107020628,,Kuri,,building,2.0,0.3,,,0.0,0.0,0,0.0,1
51b2a1f6b6b4f8604059e014c44cec7e4140f00102f90104a2181100000000920306e59490e99680,唐門,34.99158629965109,135.7720599,tourism.sights,tourism.sights,"Karamon Gate, Yamato-ohji, Higashiyama Ward, Kyoto, Yamatooji 1-chome 605-8799, Japan",Kyoto,Yamatooji 1-chome,,,2026-03-08T06:46:06.626248,Q107020618,,Karamon Gate,,yes,2.0,0.0,,,0.0,0.0,0,0.0,1
51803966b2d2f96040595e7d7edaa87f4140f00102f901a47568110000000092030fe5a4a9e699bae5a4a9e79a87e999b5,天智天皇陵,34.997340499651486,135.80696983304733,tourism.sights,tourism.sights.archaeological_site,"天智天皇陵, 東山自然緑地ジョギングコース（山科疏水みち）, Yamashina Ward, Kyoto, Ueno-Ikenoshita 607-8408, Japan",Kyoto,Ueno-Ikenoshita,,,2026-03-08T06:46:06.626251,Q314802,ja:天智天皇,,,archaeological_site,,13.6,Emperor Tenji,天智天皇,47623.0,315368.0,362991,1.0,1
514bd6975b50f96040591ab2e216f3804140f00102f901389dd51100000000920318e8b9b4e4b88ae382a4e383b3e382afe383a9e382a4e383b3,蹴上インクライン,35.00741849965216,135.7910593,tourism.sights,tourism.sights,"蹴上インクライン, Keage Incline, Higashiyama Ward, Kyoto, Higashikomonozacho 606-8437, Japan",Kyoto,Higashikomonozacho,,,2026-03-08T06:46:06.626254,,,,,,,,,,,,0,0.0,0
519a057f649ff9604059079957cbf87f4140f00102f901c1e6d9110000000092030fe790b5e790b6e6b996e7968fe6b0b4,琵琶湖疏水,34.999780099651666,135.8007071,tourism.sights,tourism.sights,"Lake Biwa Canal, 日ノ岡第11号橋, Yamashina Ward, Kyoto, Misasagi-Yamanotani 607-8424, Japan",Kyoto,Misasagi-Yamanotani,,,2026-03-08T06:46:06.626258,,,,,,,,,,,,0,0.0,0
51fa4c532606f9604059d20709b88c804140f00102f901d1869a130000000092030ce8a6b3e99fb3e88fa9e896a9,観音菩薩,35.004294399651954,135.78200069684664,tourism.sights,tourism.sights.memorial,"Kan'non bosatsu, Slope of Women, Higashiyama Ward, Kyoto, Rinkacho 605-0821, Japan",Kyoto,Rinkacho,,,2026-03-08T06:46:06.626261,,,,,,,,,,,,0,0.0,0
518a0e5bfe8cf960405947bcb38270834140f00102f9014434101500000000920309e69db1e6b182e5a082,東求堂,35.02687104965349,135.79846112999468,tourism.sights,tourism.sights.place_of_worship.temple,"Tokyudo, Ginkakuji Utano Road, Sakyō Ward, Kyoto, Ginkakujicho 606-8402, Japan",Kyoto,Ginkakujicho,,,2026-03-08T06:46:06.626265,Q107020583,,Tokyudo,,yes,2.0,2.4,,,0.0,0.0,0,0.0,1
51f4d64ce0e1f760405900ca06ef867d4140f00102f901e1c5a61500000000920309e893aee88fafe99680,蓮華門,34.98068034965036,135.74632277496096,tourism.sights,tourism.sights,"Lotus Gate, Mibu Street, Minami Ward, Kyoto, Hachijoteranouchicho 601-8447, Japan",Kyoto,Hachijoteranouchicho,,,2026-03-08T06:46:06.626268,Q107020575,,Lotus Gate,,yes,2.0,0.0,,,0.0,0.0,0,0.0,1
51879fa28d16f8604059eea57b98bd874140f00102f9014e3fe01500000000920306e69cace6aebf,本殿,35.0604734996558,135.75275308382354,tourism.sights,tourism.sights.place_of_worship.shrine,"Main Shrine, 片岡橋, Kita Ward, Kyoto, Kamigamo-Yamamotocho 603-8065, Japan",Kyoto,Kamigamo-Yamamotocho,,,2026-03-08T06:46:06.626271,Q107020569,,Main Shrine,,yes,2.0,1.5,,,0.0,0.0,0,0.0,1
517620eba915f8604059068fc185bc874140f00102f901543fe01500000000920306e6a8a9e6aebf,権殿,35.0604407496558,135.75264450000003,tourism.sights,tourism.sights.place_of_worship.shrine,"Gonden, 玉橋, Kita Ward, Kyoto, Kamigamo-Yamamotocho 603-8065, Japan",Kyoto,Kamigamo-Yamamotocho,,,2026-03-08T06:46:06.626274,Q107020568,,Gonden,,yes,2.0,0.0,,,0.0,0.0,0,0.0,1
51e046ca1689f860405912eef2250a794140f00102f901e26a0f1600000000920318e697a7e4bc8fe8a68be799bae99bbbe68980e69cace9a4a8,旧伏見発電所本館,34.94562219964804,135.76673449999998,tourism.sights,tourism.sights,"旧伏見発電所本館, National Highway Route 24, Fushimi Ward, Kyoto, Ryogaemachi 15-chome 612-0053, Japan",Kyoto,Ryogaemachi 15-chome,,,2026-03-08T06:46:06.626277,Q134493829,ja:墨染発電所,,,building,2.0,0.0,,,0.0,0.0,0,0.0,1
512278a910fdf76040593ae6bb56c2814140f00102f901b98c12160000000092030ce89887e98984e381aee99693,蘇鉄の間,35.01374324965259,135.74964173411814,tourism.sights,tourism.sights,"Sotetsu-no-ma, Honmaru East Bridge, Nakagyo Ward, Kyoto, Nijō Castle 604-8305, Japan",Kyoto,Nijō Castle,,,2026-03-08T06:46:06.626280,Q107020608,,Sotetsu-no-ma,,yes,2.0,2.6,,,0.0,0.0,0,0.0,1
