date,datetime,area,publishing_office,weather_code,weather_desc,pop,temp_min,temp_max,fetched_at
2026-03-08,2026-03-08T11:00:00+09:00,南部,京都地方気象台,211,くもり 夕方 から 晴れ,,,,2026-03-08T06:56:20.593913
2026-03-09,2026-03-09T00:00:00+09:00,南部,京都地方気象台,111,晴れ 夕方 から くもり 所により 夜遅く 雪か雨,,,,2026-03-08T06:56:20.593913
2026-03-10,2026-03-10T00:00:00+09:00,南部,京都地方気象台,201,くもり 時々 晴れ,,,,2026-03-08T06:56:20.593913
2026-03-08,2026-03-08T11:00:00+09:00,北部,京都地方気象台,200,くもり,,,,2026-03-08T06:56:20.593913
2026-03-09,2026-03-09T00:00:00+09:00,北部,京都地方気象台,218,くもり 時々 晴れ 夜遅く 雨か雪 所により 夜 雷 を伴う,,,,2026-03-08T06:56:20.593913
2026-03-10,2026-03-10T00:00:00+09:00,北部,京都地方気象台,260,くもり 一時 雪か雨,,,,2026-03-08T06:56:20.593913
2026-03-11,2026-03-11T00:00:00+09:00,南部,京都地方気象台,101,,20,,,2026-03-08T06:56:20.593913
2026-03-12,2026-03-12T00:00:00+09:00,南部,京都地方気象台,201,,30,,,2026-03-08T06:56:20.593913
2026-03-13,2026-03-13T00:00:00+09:00,南部,京都地方気象台,201,,30,,,2026-03-08T06:56:20.593913
2026-03-14,2026-03-14T00:00:00+09:00,南部,京都地方気象台,101,,20,,,2026-03-08T06:56:20.593913
2026-03-15,2026-03-15T00:00:00+09:00,南部,京都地方気象台,101,,20,,,2026-03-08T06:56:20.593913
2026-03-11,2026-03-11T00:00:00+09:00,北部,京都地方気象台,101,,20,,,2026-03-08T06:56:20.593913
2026-03-12,2026-03-12T00:00:00+09:00,北部,京都地方気象台,201,,30,,,2026-03-08T06:56:20.593913
2026-03-13,2026-03-13T00:00:00+09:00,北部,京都地方気象台,200,,40,,,2026-03-08T06:56:20.593913
2026-03-14,2026-03-14T00:00:00+09:00,北部,京都地方気象台,201,,30,,,2026-03-08T06:56:20.593913
2026-03-15,2026-03-15T00:00:00+09:00,北部,京都地方気象台,201,,30,,,2026-03-08T06:56:20.593913
