wikidata_id,wiki_en,wiki_ja,pageviews_en_12m,pageviews_ja_12m,wiki_pageviews_12m,popularity
Q1013399,Nijō Castle,二条城,92974,148157,241131,0.6643
Q1202871,Ninna-ji,仁和寺,6271,68003,74274,0.2046
Q587371,Ryōan-ji,龍安寺,50430,50578,101008,0.2783
Q700448,Kamigamo Shrine,賀茂別雷神社,9844,53388,63232,0.1742
Q701620,Shimogamo Shrine,賀茂御祖神社,17964,54064,72028,0.1984
Q270983,Kinkaku-ji,鹿苑寺,165336,165203,330539,0.9106
Q107020573,,,0,0,0,0.0
Q221716,Kiyomizu-dera,清水寺,165526,168333,333859,0.9197
Q1146038,Nishi Hongan-ji,西本願寺,13571,86868,100439,0.2767
Q1202239,Kyoto Imperial Palace,京都御所,85629,88496,174125,0.4797
Q11375236,Kyoto Prefectural Library,京都府立図書館,668,3204,3872,0.0107
Q257473,Ginkaku-ji,慈照寺,36667,76480,113147,0.3117
Q107020601,,,0,0,0,0.0
Q107020572,,,0,0,0,0.0
Q134484362,,,0,0,0,0.0
Q1516753,Saihō-ji (Kyoto),西芳寺,10669,15017,25686,0.0708
Q107020574,,,0,0,0,0.0
Q2223611,Shugakuin Imperial Villa,修学院離宮,5843,15718,21561,0.0594
Q10885331,,伏見桃山陵,0,30005,30005,0.0827
Q107020604,,,0,0,0,0.0
Q4329967,Kwasan Observatory,京都大学大学院理学研究科附属花山天文台,430,2358,2788,0.0077
Q1736808,Katsura Imperial Villa,桂離宮,25184,48305,73489,0.2025
Q107020576,,,0,0,0,0.0
Q38279257,Moto-Inari Kofun,元稲荷古墳,148,1080,1228,0.0034
Q107020582,,,0,0,0,0.0
Q107020611,,,0,0,0,0.0
Q909444,Sentō Imperial Palace,仙洞御所,10555,41418,51973,0.1432
Q107020619,,,0,0,0,0.0
Q107020624,,,0,0,0,0.0
Q18457837,,大鳥居 (平安神宮),0,4274,4274,0.0118
Q873645,Chion-in,知恩院,12545,56792,69337,0.191
Q11625508,Hebizuka Kofun,蛇塚古墳,796,4936,5732,0.0158
Q107020603,,,0,0,0,0.0
Q134493992,,,0,0,0,0.0
Q11442478,Amatsuka Kofun,天塚古墳,477,2550,3027,0.0083
Q107020628,,,0,0,0,0.0
Q107020618,,,0,0,0,0.0
Q314802,Emperor Tenji,天智天皇,47623,315368,362991,1.0
Q107020583,,,0,0,0,0.0
Q107020575,,,0,0,0,0.0
Q107020569,,,0,0,0,0.0
Q107020568,,,0,0,0,0.0
Q134493829,,,0,0,0,0.0
Q107020608,,,0,0,0,0.0
Q107020620,,,0,0,0,0.0
Q107020625,,,0,0,0,0.0
Q107020580,,,0,0,0,0.0
Q107020581,,,0,0,0,0.0
Q17230264,,堀川第一橋,0,1142,1142,0.0031
Q11668303,,駒井家住宅,0,2359,2359,0.0065
Q134487049,,,0,0,0,0.0
Q269520,Empress Shōken,昭憲皇太后,60455,142290,202745,0.5585
Q3541649,Tsuki no wa no misasagi,月輪陵・後月輪陵,5968,8772,14740,0.0406
Q134493836,,,0,0,0,0.0
Q107020597,,,0,0,0,0.0
Q1196273,Fushimi Castle,伏見城,63255,91148,154403,0.4254
Q11457885,Terado Ōtsuka Kofun,寺戸大塚古墳,386,1081,1467,0.004
Q11521559,,朱雀院,0,2325,2325,0.0064
Q22117904,Itsukahara Kofun,五塚原古墳,596,1496,2092,0.0058
Q17193229,,一乗寺下り松,0,5161,5161,0.0142
Q707668,Mimizuka,耳塚,36796,14240,51036,0.1406
Q11488867,,御土居,0,20049,20049,0.0552
Q28608917,Tennō-no-Mori Kofun,天皇の杜古墳,306,1862,2168,0.006
Q910041,Jurakudai,聚楽第,6971,71836,78807,0.2171
Q3141015,Hosshō-ji,法勝寺,1212,12402,13614,0.0375
Q11458635,,将軍山城,0,6763,6763,0.0186
Q24014029,Kyoto Railway Museum,京都鉄道博物館,10792,39064,49856,0.1373
Q124482750,,補陀洛寺 (京都市),0,1122,1122,0.0031
Q6149959,St. Agnes Cathedral (Kyoto),聖アグネス教会,1361,2784,4145,0.0114
Q901256,Daitoku-ji,大徳寺,16781,59941,76722,0.2114
Q8664338,Shōgo-in,聖護院,862,26761,27623,0.0761
Q11415986,,向日神社,0,9658,9658,0.0266
Q1652745,,宝塔寺,0,3586,3586,0.0099
Q705635,Shiramine Shrine,白峯神宮,2902,22157,25059,0.069
Q11646614,Konchi-in,金地院,1055,9734,10789,0.0297
Q11426034,,城南宮,0,14867,14867,0.041
Q714828,Fushimi Inari-taisha,伏見稲荷大社,210128,119416,329544,0.9079
Q2380134,Eikan-dō Zenrin-ji,禅林寺 (京都市),5921,12965,18886,0.052
Q11629973,,西雲院,0,1334,1334,0.0037
Q1089231,Shinshōgokuraku-ji,真正極楽寺,1209,8919,10128,0.0279
